,Race_Index,Horse_no,Pred_Position,r_finish_order,r_horse_no
3,29,4,4,6,4
4,29,5,11,8,5
5,29,6,9,11,6
6,29,7,10,3,7
7,29,8,5,1,8
8,29,9,8,10,9
9,29,10,7,9,10
10,29,11,6,7,11
0,30,1,7,5,1
1,30,2,1,4,2
2,30,3,2,8,3
3,30,4,3,2,4
4,30,5,9,9,6
5,30,6,8,7,7
6,30,7,5,3,8
7,30,8,4,6,9
8,30,9,6,1,10
0,31,1,4,5,1
1,31,2,11,8,2
2,31,3,7,6,3
3,31,4,3,3,4
4,31,5,1,1,5
5,31,6,6,2,6
6,31,7,5,4,7
7,31,8,9,10,8
8,31,9,10,11,9
9,31,10,12,9,10
10,31,11,2,7,11
11,31,12,8,12,12
0,32,1,1,6,1
1,32,2,2,8,2
2,32,3,3,2,3
3,32,4,5,12,4
4,32,5,6,7,5
5,32,6,10,3,6
6,32,7,4,4,7
7,32,8,9,11,8
8,32,9,12,10,9
9,32,10,7,1,10
10,32,11,8,5,11
11,32,12,11,9,12
0,33,1,5,6,1
1,33,2,12,9,2
2,33,3,1,4,3
3,33,4,10,12,4
4,33,5,6,8,5
5,33,6,11,11,6
6,33,7,2,2,7
7,33,8,8,7,8
8,33,9,9,5,9
9,33,10,3,1,10
10,33,11,7,10,11
11,33,12,4,3,12
0,34,1,7,9,1
1,34,2,9,12,2
2,34,3,1,11,3
3,34,4,2,6,4
4,34,5,3,4,5
5,34,6,11,8,6
6,34,7,10,10,7
7,34,8,8,5,8
8,34,9,4,1,9
9,34,10,5,2,10
10,34,11,6,3,11
11,34,12,12,7,12
0,35,1,1,5,1
1,35,2,2,1,2
2,35,3,12,12,3
3,35,4,7,9,4
4,35,5,11,11,5
5,35,6,3,8,6
6,35,7,9,7,7
7,35,8,6,3,8
8,35,9,5,2,9
9,35,10,4,6,10
10,35,11,8,4,11
11,35,12,10,10,12
0,36,1,1,11,1
1,36,2,7,2,2
2,36,3,11,12,3
3,36,4,2,1,4
4,36,5,10,3,5
5,36,6,5,8,6
6,36,7,8,10,7
7,36,8,6,5,8
8,36,9,9,6,9
9,36,10,4,7,10
10,36,11,12,9,11
11,36,12,3,4,12
0,37,1,4,1,1
1,37,2,5,6,2
2,37,3,1,5,3
3,37,4,7,9,4
4,37,5,8,2,5
5,37,6,2,7,6
6,37,7,9,8,7
7,37,8,6,3,8
8,37,9,3,4,9
0,38,1,7,1,1
1,38,2,1,5,2
2,38,3,12,13,3
3,38,4,13,3,4
4,38,5,2,7,5
5,38,6,10,8,6
6,38,7,11,6,7
7,38,8,5,9,8
8,38,9,8,2,9
9,38,10,6,12,10
10,38,11,3,10,11
11,38,12,4,4,12
12,38,13,9,11,13
0,39,1,1,5,1
1,39,2,5,2,2
2,39,3,9,6,3
3,39,4,2,4,4
4,39,5,11,9,5
5,39,6,3,7,6
6,39,7,10,11,7
7,39,8,6,10,8
8,39,9,7,8,9
9,39,10,4,1,11
10,39,11,8,3,12
0,40,1,1,5,1
1,40,2,4,4,2
2,40,3,12,9,3
3,40,4,8,2,4
4,40,5,9,7,5
5,40,6,5,8,6
6,40,7,2,10,7
7,40,8,10,11,8
8,40,9,3,3,9
9,40,10,11,12,10
10,40,11,6,6,11
11,40,12,7,1,12
0,41,1,1,3,1
1,41,2,8,2,2
2,41,3,5,10,3
3,41,4,2,1,4
4,41,5,7,8,5
5,41,6,3,4,6
6,41,7,4,7,7
7,41,8,10,9,8
8,41,9,11,5,9
9,41,10,6,11,10
10,41,11,9,6,11
0,42,1,4,6,2
1,42,2,10,9,3
2,42,3,11,10,4
3,42,4,1,13,5
4,42,5,2,7,6
5,42,6,3,4,7
6,42,7,13,11,8
7,42,8,9,8,9
8,42,9,6,1,10
9,42,10,7,5,11
10,42,11,5,3,12
11,42,12,8,2,13
12,42,13,12,12,14
0,43,1,8,6,1
1,43,2,10,10,2
2,43,3,7,9,3
3,43,4,1,5,4
4,43,5,6,2,5
5,43,6,5,7,6
6,43,7,2,8,7
7,43,8,3,1,8
8,43,9,4,3,9
9,43,10,9,4,10
0,44,1,7,9,1
1,44,2,11,11,2
2,44,3,1,5,3
3,44,4,2,1,4
4,44,5,10,8,5
5,44,6,3,4,6
6,44,7,5,3,7
7,44,8,8,2,8
8,44,9,6,6,9
9,44,10,4,7,10
10,44,11,9,10,11
0,45,1,7,7,1
1,45,2,1,2,2
2,45,3,2,3,3
3,45,4,12,12,4
4,45,5,6,4,5
5,45,6,3,6,6
6,45,7,4,8,7
7,45,8,8,9,8
8,45,9,9,5,9
9,45,10,11,11,10
10,45,11,10,10,12
11,45,12,5,1,13
0,46,1,6,8,2
1,46,2,1,9,3
2,46,3,5,5,4
3,46,4,10,12,4
4,46,5,2,2,5
5,46,6,9,7,6
6,46,7,7,6,7
7,46,8,11,11,8
8,46,9,8,10,9
9,46,10,12,4,10
10,46,11,3,1,11
11,46,12,4,3,12
0,47,1,2,5,1
1,47,2,5,2,2
2,47,3,7,3,3
3,47,4,3,4,4
4,47,5,1,1,5
5,47,6,8,7,6
6,47,7,4,6,7
7,47,8,6,8,8
0,48,1,1,3,1
1,48,2,2,2,2
2,48,3,9,5,3
3,48,4,8,9,4
4,48,5,3,1,5
5,48,6,4,6,6
6,48,7,7,4,7
7,48,8,5,8,8
8,48,9,6,7,9
9,48,10,10,10,10
0,49,1,11,1,1
1,49,2,9,6,2
2,49,3,1,4,3
3,49,4,2,2,4
4,49,5,6,12,5
5,49,6,8,10,6
6,49,7,3,8,7
7,49,8,10,3,8
8,49,9,4,7,9
9,49,10,5,5,10
10,49,11,7,11,11
11,49,12,12,9,12
0,50,1,11,7,1
1,50,2,1,4,2
2,50,3,2,3,3
3,50,4,3,2,4
4,50,5,4,1,5
5,50,6,6,9,6
6,50,7,10,6,7
7,50,8,8,8,8
8,50,9,7,5,9
9,50,10,5,11,10
10,50,11,9,10,11
0,51,1,12,11,1
1,51,2,11,5,2
2,51,3,1,2,3
3,51,4,2,9,4
4,51,5,3,1,5
5,51,6,5,7,6
6,51,7,6,10,7
7,51,8,8,8,8
8,51,9,10,6,9
9,51,10,4,4,10
10,51,11,7,12,11
11,51,12,9,3,12
0,52,1,1,9,1
1,52,2,4,7,2
2,52,3,2,3,3
3,52,4,9,8,4
4,52,5,6,6,5
5,52,6,3,1,6
6,52,7,8,2,7
7,52,8,10,4,8
8,52,9,5,5,9
9,52,10,7,10,10
0,53,1,11,10,1
1,53,2,10,9,2
2,53,3,8,3,3
3,53,4,1,4,4
4,53,5,2,11,6
5,53,6,7,8,7
6,53,7,3,7,8
7,53,8,6,2,9
8,53,9,4,5,10
9,53,10,5,1,11
10,53,11,9,6,12
0,54,1,1,8,1
1,54,2,2,5,2
2,54,3,6,12,3
3,54,4,3,3,4
4,54,5,4,2,5
5,54,6,11,4,6
6,54,7,8,1,7
7,54,8,7,6,8
8,54,9,5,9,9
9,54,10,10,7,10
10,54,11,12,11,11
11,54,12,9,10,12
0,55,1,1,1,1
1,55,2,7,10,2
2,55,3,2,3,3
3,55,4,9,9,4
4,55,5,8,4,5
5,55,6,10,7,6
6,55,7,4,6,7
7,55,8,6,5,8
8,55,9,11,12,9
9,55,10,3,8,10
10,55,11,12,11,11
11,55,12,5,2,12
0,56,1,1,5,1
1,56,2,4,10,2
2,56,3,5,3,3
3,56,4,7,12,4
4,56,5,2,8,5
5,56,6,6,7,6
6,56,7,11,2,7
7,56,8,3,9,8
8,56,9,12,11,9
9,56,10,8,6,10
10,56,11,9,1,11
11,56,12,10,4,12
0,57,1,8,7,1
1,57,2,12,3,2
2,57,3,4,10,3
3,57,4,7,12,4
4,57,5,6,8,5
5,57,6,1,11,6
6,57,7,10,9,7
7,57,8,5,2,8
8,57,9,2,6,9
9,57,10,3,1,10
10,57,11,9,3,11
11,57,12,11,5,12
0,58,1,7,3,1
1,58,2,1,10,2
2,58,3,9,2,3
3,58,4,2,4,4
4,58,5,11,11,5
5,58,6,4,8,6
6,58,7,5,5,7
7,58,8,3,6,8
8,58,9,10,1,9
9,58,10,12,12,10
10,58,11,8,7,11
11,58,12,6,9,12
0,59,1,1,7,1
1,59,2,4,2,2
2,59,3,10,9,3
3,59,4,2,3,4
4,59,5,7,12,5
5,59,6,6,8,6
6,59,7,9,4,7
7,59,8,3,5,8
8,59,9,8,6,9
9,59,10,5,1,10
10,59,11,12,10,11
11,59,12,11,11,12
0,60,1,6,11,1
1,60,2,2,10,2
2,60,3,13,5,3
3,60,4,4,8,4
4,60,5,8,6,5
5,60,6,7,3,6
6,60,7,10,4,7
7,60,8,5,13,8
8,60,9,11,7,9
9,60,10,1,2,10
10,60,11,12,9,11
11,60,12,9,12,12
12,60,13,3,1,13
0,62,1,1,4,1
1,62,2,8,3,2
2,62,3,6,2,3
3,62,4,9,11,4
4,62,5,2,1,5
5,62,6,3,7,6
6,62,7,4,8,7
7,62,8,7,5,8
8,62,9,11,10,9
9,62,10,10,9,10
10,62,11,12,12,11
11,62,12,5,6,12
0,63,1,12,4,1
1,63,2,6,3,2
2,63,3,1,14,3
3,63,4,2,5,4
4,63,5,3,2,5
5,63,6,14,11,6
6,63,7,10,13,7
7,63,8,4,10,8
8,63,9,8,7,9
9,63,10,7,6,10
10,63,11,11,12,11
11,63,12,13,8,12
12,63,13,9,9,13
13,63,14,5,1,14
0,64,1,1,2,1
1,64,2,6,12,2
2,64,3,2,3,3
3,64,4,8,10,4
4,64,5,3,7,5
5,64,6,10,4,6
6,64,7,7,6,7
7,64,8,11,5,8
8,64,9,4,1,9
9,64,10,5,9,10
10,64,11,9,8,11
11,64,12,12,11,12
0,65,1,3,2,1
1,65,2,7,7,2
2,65,3,4,4,3
3,65,4,1,5,4
4,65,5,8,9,7
5,65,6,6,8,8
6,65,7,2,6,9
7,65,8,5,3,10
8,65,9,9,11,11
0,66,1,9,11,1
1,66,2,6,1,2
2,66,3,8,12,3
3,66,4,5,9,7
4,66,5,3,7,8
5,66,6,1,4,9
6,66,7,7,2,10
7,66,8,2,6,11
8,66,9,4,3,12
0,67,1,1,10,1
1,67,2,5,2,2
2,67,3,3,7,3
3,67,4,4,5,4
4,67,5,7,1,5
5,67,6,8,6,6
6,67,7,9,3,7
7,67,8,6,8,8
8,67,9,2,4,9
9,67,10,10,9,10
0,68,1,3,2,1
1,68,2,13,11,2
2,68,3,6,4,3
3,68,4,10,7,4
4,68,5,9,8,5
5,68,6,14,14,6
6,68,7,5,6,7
7,68,8,12,9,8
8,68,9,1,5,9
9,68,10,11,1,10
10,68,11,2,13,11
11,68,12,7,12,12
12,68,13,8,10,13
13,68,14,4,3,14
0,69,1,3,10,1
1,69,2,5,2,2
2,69,3,4,7,4
3,69,4,7,8,5
4,69,5,1,3,6
5,69,6,6,9,7
6,69,7,2,1,8
7,69,8,8,4,9
8,69,9,9,5,10
0,70,1,1,11,1
1,70,2,2,3,2
2,70,3,3,1,3
3,70,4,13,8,4
4,70,5,12,7,5
5,70,6,10,13,6
6,70,7,9,4,7
7,70,8,6,6,8
8,70,9,5,5,9
9,70,10,7,2,10
10,70,11,4,9,11
11,70,12,8,12,12
12,70,13,14,10,13
13,70,14,11,14,14
0,71,1,1,5,1
1,71,2,2,1,2
2,71,3,8,10,3
3,71,4,6,4,4
4,71,5,9,6,5
5,71,6,5,2,6
6,71,7,3,9,7
7,71,8,10,7,8
8,71,9,7,8,9
9,71,10,4,3,10
0,73,1,3,6,1
1,73,2,11,7,2
2,73,3,4,1,3
3,73,4,1,3,4
4,73,5,2,2,5
5,73,6,13,5,6
6,73,7,14,14,7
7,73,8,12,13,8
8,73,9,6,4,9
9,73,10,8,12,10
10,73,11,5,11,11
11,73,12,9,9,12
12,73,13,10,8,13
13,73,14,7,10,14
0,74,1,6,2,1
1,74,2,1,1,2
2,74,3,7,6,3
3,74,4,2,3,4
4,74,5,3,4,5
5,74,6,9,7,6
6,74,7,10,12,7
7,74,8,11,11,8
8,74,9,4,13,9
9,74,10,13,5,10
10,74,11,8,9,11
11,74,12,12,10,12
12,74,13,5,8,13
